facility_code,facility_name,facility_major_type,facility_type,facility_category,ownership_major,is_private,is_licensed,city_raw,city_norm,barangay,service_capability,doh_level,service_level_weight,bed_capacity,license_status
DOH000000000033224,MADLANGSAKAY MEDICAL AND LYING IN CLINIC,Health Facility,Birthing Home,birthing,Private,1,1,QUEZON CITY,QUEZON CITY,TALIPAPA,,0,1.5,5,Licensing Status:With License
DOH000000000044398,MADRID POLYCLINIC AND DIAGNOSTIC CENTER,Health Facility,Ambulatory Surgical Clinic,clinic,Private,1,1,QUEZON CITY,QUEZON CITY,SOCORRO,,0,1.5,0,Licensing Status:With License
DOH000000000040382,MAEZELLE PSYCHO METIER &AMP; DIAGNOSTIC CENTER,Health Facility,Clinical Laboratory,clinic,Private,1,1,QUEZON CITY,QUEZON CITY,SOCORRO,,0,1.5,0,Licensing Status:With License
DOH000000000049646,MAEZELLE PSYCHO METIER AND DIAGNOSTIC CENTER,Health Facility,Drug Testing Laboratory,laboratory,Private,1,1,QUEZON CITY,QUEZON CITY,TAGUMPAY,Screening (Drug testing),0,1.0,0,Licensing Status:With License
DOH000000000039193,MAGNAHEALTH ULTRASOUND AND DIAGNOSTIC CLINIC,Health Facility,Clinical Laboratory,clinic,Private,1,1,CITY OF LAS PI?AS,LAS PINAS,TALON SINGKO,,0,1.5,0,Licensing Status:With License
DOH000000000043868,"MAGNATECH CLINICAL LABORATORY &AMP; POLYCLINIC, INC.",Health Facility,Clinical Laboratory,clinic,Private,1,1,QUEZON CITY,QUEZON CITY,HOLY SPIRIT,,0,1.5,0,Licensing Status:With License
DOH000000000039333,MAGNIFICAT DIAGNOSTIC INC.,Health Facility,Clinical Laboratory,clinic,Private,1,1,CITY OF MANDALUYONG,MANDALUYONG,HIGHWAY HILLS,Level 2,2,3.0,0,Licensing Status:With License
DOH000000000033183,MAGTALAS BIRTHING HOME,Health Facility,Birthing Home,birthing,Private,1,1,CITY OF MALABON,MALABON,PANGHULO,,0,1.5,3,Licensing Status:With License
DOH000000000040896,MAHARLIKA LABORATORY AND FAMILY CARE CO.,Health Facility,Clinical Laboratory,clinic,Private,1,1,CITY OF TAGUIG,TAGUIG,UPPER BICUTAN,,0,1.5,0,Licensing Status:With License
DOH000000000002238,MAHARLIKA VILLAGE HEALTH CENTER,Health Facility,Rural Health Unit,rhu,Government,0,0,CITY OF TAGUIG,TAGUIG,MAHARLIKA VILLAGE,,0,1.5,0,
